codeinsee;localisation;typepav;domaine;entourage;naturesol;datemaj;flux;longitude;latitude
35051;RUE DE LA GARENNE  PARKING T.D.F.;Aérien;Public;;;20080325;VE;-1.61849545673922;48.1188174820127
35238;Face au 154  rue de Nantes;Aérien;Public;Sans;Enrobé;20080108;VE;-1.68568434877899;48.1005200996661
35238;24  allée de Finlande;Aérien;Public;Sans;;;OM-MM;-1.65014127684176;48.0916575317457
35315;PLATE-FORME DECHETS VERTS;Aérien;Public;Sans;Béton;20080904;VE;-1.59054903831505;48.2149207646494
35210;RUE DELAGREE;Aérien;Public;;;20080401;OM-MM;-1.76987425032039;48.1455366976309
35238;Rue Bertrand Robidou (angle rue Philippe Nordmann);Aérien;Public;;;;VE;-1.65879710403281;48.1072454641963
35238;Rue de Brest (angle square Yves Mayeuc);Aérien;Public;;;20080226;VE;-1.68986028024861;48.1115185508739
35051;LES HAUTS DE BRAY  rue d Irlande (central);Enterré;Public;Sans;Métal;20090701;OM-MM;-1.61061560539593;48.1095007614187
35334;PARKING RUE GABRIEL FAURE  COTE RUE DUGUESCLIN;Aérien;Public;;;20080425;VE;-1.58454143364663;48.1574277600247
35051;LES HAUTS DE BRAY  rue d Irlande (placette);Enterré;Public;Sans;Métal;20090701;OM-MM-VE;-1.61139122030859;48.1087036648367
35281;COURS CAMILLE CLAUDEL (la gaite)  DERRIERE STATION DE CHAMPION;Aérien;Public;;;20080425;VE;-1.71335138528076;48.0822655813787
35238;Boulevard du Portugal (angle allée du Tage);Aérien;Public;;;20080107;VE;-1.66259647954141;48.0836094605912
35363;RUE GEORGES SAND COLLECTIFS SARAH BERNART;Aérien;Public;;;20080403;VE;-1.70762112758014;48.0133269122478
35238;Square Yves Lemoine;Aérien;Public;Sans;;20080226;VE;-1.69992752000762;48.1213493036615
35238;Rue de Paris (angle rue Charles Oberthur);Aérien;Public;;;;VE;-1.66143408939729;48.1132871145255
35032;VILLAGE DES SEPT FOURS  ROUTE DE CHANTELOUP;Aérien;Public;;;20080311;VE;-1.63738204290374;47.9594969566854
35363;Parking  Route de la Croix  FACE CIMETIERE;Aérien;Public;;;20080403;VE;-1.70413646733775;48.01725296397
35051;LE VAULT MARTIN;Aérien;Public;;;20080325;VE;-1.57317540522838;48.1302494767065
35238;DALLE KENNEDY;Enterré;Public;Sans;Métal;20100316;VE;-1.71002980914823;48.1214663316143
35238;Rue Jean Sullivan;Aérien;Public;Sans;;;VE;-1.68774191989008;48.1228947050455
35238;Rue de Bourgogne (angle rue Jean Moulin);Aérien;Public;Sans;;20080226;VE;-1.70655179688399;48.1188305005795
35240;AVENUE DES  CHAMPS FRELONS;Aérien;Public;;;;OM-MM;-1.80143660258455;48.0981468868296
35238;78  rue Poincarré;Aérien;Public;;;;VE;-1.65242170993918;48.1263521571496
35189;Rue Alain Colas (côté pair);Enterré;Public;Sans;Métal;20100715;OM-MM;-1.71728625434627;48.1549084992212
35204;L  OURMAIS;Aérien;Public;Sans;;20080401;VE;-1.55156824215766;48.0288423117035
35210;TERRAIN DES GENS DU VOYAGE RUE MICHEL GERARD;Aérien;Public;;;20080401;OM;-1.76767659280285;48.1484598884065
35024;RUE DE LA FORGE  ANGLE RUE MOZARD;Aérien;Public;;;20080310;VE;-1.63314006432475;48.1865981992207
35238;Boulevard Léon Grimault (angle avenue de Pologne);Enterré;Public;Sans;Métal;20100104;OM-MM;-1.65138543516794;48.0911762950008
35238;Boulevard Emmanuel Mounier;Aérien;Public;;;20080107;VE;-1.66375319486112;48.1251435661132
35275;ETANG DE LA MOTTE.LOTISSEMENT;Aérien;Public;;;20090303;OM-MM;-1.87175042274439;48.1536525672717
35051;Rue de Chantepie  vers déchèterie (derrière la haie);Aérien;Public;;;20080325;VE;-1.60332694205047;48.1080463258635
35238;Rue de Châteaugiron (face allée Beethoven);Aérien;Public;;;20080108;VE;-1.64833708293644;48.0997831102334
35240;collectifs  avenue de la Bouvadiere;Aérien;Public;;;;OM-MM;-1.79945473097668;48.0982438437057
35238;Rue de Saint-Malo (angle rue Olivier);Aérien;Public;Sans;;;VE;-1.68675030239008;48.127862796847
35278;ALLEE DU STADE;Aérien;Public;;;20080424;VE;-1.69274444636759;48.1552498180083
35051;RUE DE LA GRANDE FONTENELLE;Enterré;Public;;;20080325;MM-VE;-1.60697262433011;48.1207404942013
